iter	Passed	Remaining
0	152	152490
1	154	76913
2	154	51510
3	155	38800
4	156	31187
5	157	26098
6	158	22477
7	159	19757
8	160	17648
9	161	15959
10	162	14566
11	162	13408
12	163	12424
13	164	11609
14	165	10884
15	166	10245
16	167	9680
17	168	9176
18	169	8726
19	169	8321
20	170	7956
21	171	7622
22	172	7318
23	173	7039
24	173	6784
25	174	6547
26	175	6328
27	176	6141
28	177	5953
29	178	5776
30	179	5609
31	180	5453
32	181	5307
33	181	5170
34	182	5040
35	183	4916
36	184	4798
37	185	4687
38	186	4584
39	186	4486
40	187	4392
41	188	4310
42	189	4225
43	190	4143
44	191	4064
45	192	3989
46	193	3916
47	193	3847
48	194	3781
49	195	3718
50	196	3656
51	197	3596
52	198	3539
53	198	3484
54	199	3431
55	200	3380
56	201	3331
57	202	3287
58	203	3241
59	204	3196
60	204	3152
61	205	3110
62	206	3070
63	207	3031
64	208	2993
65	208	2956
66	209	2920
67	210	2880
68	210	2846
69	212	2824
70	213	2796
71	214	2767
72	215	2739
73	216	2712
74	217	2687
75	219	2664
76	220	2637
77	220	2611
78	221	2586
79	222	2560
80	223	2536
81	224	2514
82	225	2491
83	226	2468
84	226	2442
85	227	2421
86	228	2397
87	229	2376
88	230	2355
89	230	2334
90	231	2314
91	232	2295
92	233	2275
93	234	2256
94	234	2237
95	235	2219
96	236	2201
97	237	2183
98	238	2166
99	238	2150
100	239	2133
101	240	2114
102	241	2101
103	242	2088
104	243	2074
105	244	2059
106	245	2046
107	246	2032
108	246	2017
109	247	2003
110	248	1989
111	249	1976
112	250	1963
113	250	1950
114	251	1937
115	252	1922
116	253	1910
117	253	1897
118	254	1887
119	255	1877
120	256	1865
121	257	1854
122	258	1840
123	258	1829
124	259	1817
125	260	1806
126	261	1795
127	261	1783
128	262	1772
129	263	1762
130	264	1752
131	264	1742
132	265	1732
133	266	1722
134	267	1712
135	268	1704
136	269	1698
137	270	1688
138	271	1680
139	272	1671
140	272	1662
141	273	1653
142	274	1644
143	275	1636
144	276	1627
145	276	1619
146	277	1611
147	278	1603
148	279	1595
149	280	1587
150	281	1579
151	281	1573
152	283	1567
153	283	1559
154	285	1555
155	287	1553
156	288	1548
157	289	1542
158	290	1535
159	291	1528
160	291	1521
161	293	1516
162	294	1513
163	295	1508
164	297	1504
165	298	1499
166	299	1493
167	300	1488
168	301	1483
169	302	1478
170	303	1473
171	305	1468
172	305	1461
173	306	1455
174	307	1449
175	308	1444
176	309	1439
177	310	1434
178	311	1428
179	312	1423
180	312	1415
181	313	1409
182	314	1404
183	315	1398
184	316	1393
185	316	1387
186	317	1381
187	318	1376
188	319	1371
189	320	1366
190	321	1361
191	322	1358
192	323	1352
193	324	1347
194	325	1342
195	326	1337
196	327	1333
197	328	1328
198	328	1323
199	330	1320
200	330	1315
201	331	1310
202	332	1307
203	333	1302
204	334	1298
205	335	1294
206	337	1292
207	338	1287
208	339	1283
209	339	1278
210	340	1273
211	341	1269
212	342	1264
213	343	1260
214	343	1255
215	344	1251
216	345	1247
217	346	1243
218	347	1238
219	348	1234
220	349	1230
221	349	1225
222	350	1221
223	351	1217
224	352	1213
225	352	1208
226	353	1204
227	354	1200
228	355	1196
229	356	1191
230	356	1187
231	357	1183
232	358	1179
233	359	1176
234	361	1176
235	362	1173
236	363	1171
237	364	1167
238	365	1164
239	367	1163
240	368	1160
241	370	1159
242	371	1155
243	372	1152
244	373	1150
245	374	1147
246	375	1143
247	375	1139
248	376	1136
249	377	1133
250	378	1129
251	379	1126
252	380	1122
253	381	1119
254	382	1116
255	382	1112
256	383	1109
257	384	1106
258	385	1103
259	386	1100
260	387	1096
261	388	1093
262	389	1090
263	389	1087
264	390	1083
265	391	1080
266	392	1077
267	393	1074
268	394	1071
269	395	1068
270	395	1064
271	396	1061
272	397	1058
273	398	1055
274	399	1053
275	400	1050
276	401	1047
277	402	1044
278	403	1041
279	403	1038
280	404	1035
281	405	1032
282	406	1029
283	407	1027
284	408	1024
285	409	1021
286	410	1018
287	410	1015
288	411	1012
289	412	1010
290	413	1008
291	414	1005
292	415	1002
293	416	999
294	417	997
295	418	994
296	418	991
297	419	989
298	420	986
299	421	983
300	422	981
301	423	978
302	424	976
303	425	973
304	426	971
305	427	968
306	427	966
307	428	963
308	429	960
309	430	958
310	431	955
311	432	953
312	433	950
313	433	948
314	434	945
315	435	942
316	436	940
317	437	937
318	438	935
319	439	933
320	439	930
321	440	928
322	441	925
323	442	923
324	443	920
325	444	918
326	445	916
327	445	913
328	446	911
329	447	908
330	448	906
331	449	904
332	450	902
333	451	900
334	452	898
335	453	895
336	454	893
337	455	891
338	455	888
339	456	886
340	457	884
341	458	882
342	459	879
343	460	877
344	461	875
345	461	873
346	462	870
347	463	868
348	464	866
349	465	864
350	466	862
351	467	859
352	467	857
353	468	855
354	469	853
355	470	851
356	471	848
357	472	846
358	473	844
359	473	842
360	474	840
361	476	839
362	477	838
363	479	837
364	480	836
365	481	834
366	483	833
367	484	831
368	485	830
369	486	829
370	488	828
371	489	827
372	491	825
373	492	823
374	493	821
375	494	820
376	495	818
377	496	816
378	497	815
379	498	813
380	499	811
381	500	809
382	501	808
383	502	806
384	503	804
385	504	803
386	505	801
387	506	799
388	507	797
389	508	795
390	509	793
391	510	791
392	511	790
393	513	789
394	514	788
395	516	787
396	517	785
397	518	784
398	519	782
399	520	781
400	521	779
401	522	777
402	523	775
403	524	773
404	525	771
405	526	770
406	527	769
407	529	768
408	530	766
409	531	765
410	533	763
411	534	762
412	535	761
413	537	760
414	538	758
415	540	758
416	541	757
417	542	755
418	543	753
419	544	751
420	545	750
421	547	749
422	548	748
423	549	746
424	550	744
425	551	742
426	552	741
427	553	739
428	553	737
429	554	735
430	555	733
431	556	731
432	557	729
433	558	728
434	559	727
435	561	726
436	562	724
437	563	722
438	563	720
439	565	719
440	566	717
441	567	716
442	568	714
443	569	712
444	570	711
445	571	709
446	572	708
447	573	706
448	575	705
449	575	703
450	576	702
451	577	700
452	578	698
453	579	696
454	580	694
455	580	693
456	581	691
457	582	689
458	583	687
459	584	685
460	584	683
461	586	682
462	587	681
463	588	679
464	589	678
465	590	676
466	591	674
467	591	672
468	592	670
469	593	669
470	594	667
471	594	665
472	595	663
473	596	661
474	597	660
475	597	658
476	598	656
477	599	654
478	600	653
479	601	651
480	602	650
481	603	648
482	604	647
483	605	645
484	607	644
485	608	643
486	609	641
487	609	639
488	610	638
489	611	636
490	612	634
491	612	632
492	613	631
493	614	629
494	615	628
495	616	626
496	617	625
497	618	623
498	619	621
499	619	619
500	620	618
501	621	616
502	622	614
503	622	613
504	623	611
505	624	609
506	625	607
507	626	606
508	627	604
509	628	603
510	629	602
511	630	600
512	630	598
513	631	597
514	632	595
515	633	594
516	634	592
517	635	591
518	636	589
519	637	588
520	638	586
521	639	585
522	640	583
523	641	582
524	641	580
525	642	579
526	643	577
527	644	576
528	645	574
529	646	573
530	647	571
531	647	569
532	648	568
533	649	566
534	650	565
535	651	563
536	651	561
537	652	560
538	653	558
539	654	557
540	655	555
541	656	554
542	657	552
543	657	551
544	658	549
545	659	548
546	660	546
547	661	545
548	662	543
549	663	542
550	663	540
551	664	539
552	665	537
553	666	536
554	667	535
555	668	533
556	669	532
557	670	530
558	670	529
559	671	527
560	672	526
561	673	524
562	674	523
563	675	521
564	675	520
565	676	518
566	677	517
567	678	516
568	679	514
569	680	513
570	681	511
571	682	510
572	683	509
573	684	507
574	684	506
575	685	504
576	686	503
577	687	501
578	688	500
579	689	499
580	690	497
581	691	496
582	691	494
583	692	493
584	693	492
585	695	491
586	696	490
587	697	488
588	699	487
589	699	486
590	700	485
591	701	483
592	702	482
593	703	480
594	704	479
595	705	478
596	706	476
597	707	475
598	708	474
599	708	472
600	709	471
601	710	469
602	711	468
603	712	467
604	713	465
605	714	464
606	715	463
607	716	461
608	717	460
609	717	459
610	718	457
611	719	456
612	720	455
613	721	453
614	722	452
615	723	451
616	724	449
617	725	448
618	726	447
619	727	445
620	728	444
621	729	443
622	730	441
623	731	440
624	731	439
625	732	437
626	733	436
627	734	435
628	735	433
629	736	432
630	737	431
631	738	429
632	739	428
633	740	427
634	741	426
635	742	424
636	743	423
637	744	422
638	745	420
639	745	419
640	747	418
641	747	417
642	748	415
643	749	414
644	750	413
645	751	412
646	752	410
647	753	409
648	754	408
649	755	406
650	756	405
651	757	404
652	758	402
653	759	401
654	760	400
655	760	399
656	761	397
657	762	396
