iter	Passed	Remaining
0	134	134582
1	136	68184
2	138	45961
3	139	34756
4	141	28076
5	142	23591
6	143	20343
7	144	17953
8	146	16138
9	147	14636
10	148	13385
11	149	12339
12	150	11446
13	152	10714
14	153	10055
15	154	9471
16	154	8959
17	155	8504
18	158	8160
19	160	7843
20	161	7536
21	162	7229
22	163	6946
23	164	6685
24	165	6455
25	166	6235
26	167	6029
27	168	5838
28	169	5659
29	169	5494
30	171	5349
31	172	5223
32	174	5100
33	175	4975
34	176	4854
35	176	4737
36	177	4629
37	178	4526
38	179	4427
39	180	4332
40	181	4242
41	182	4157
42	183	4075
43	184	4005
44	185	3945
45	187	3884
46	188	3816
47	189	3750
48	190	3688
49	191	3632
50	192	3576
51	193	3519
52	193	3464
53	194	3412
54	195	3362
55	196	3312
56	197	3265
57	198	3226
58	199	3187
59	201	3150
60	202	3111
61	203	3071
62	204	3040
63	205	3008
64	206	2976
65	208	2944
66	208	2909
67	209	2877
68	210	2844
69	212	2817
70	213	2795
71	214	2768
72	215	2739
73	216	2712
74	217	2684
75	218	2657
76	219	2629
77	220	2603
78	221	2577
79	221	2552
80	222	2527
81	223	2502
82	224	2475
83	224	2452
84	226	2434
85	227	2418
86	228	2402
87	230	2383
88	230	2364
89	231	2345
90	232	2326
91	233	2308
92	234	2290
93	235	2272
94	236	2255
95	237	2238
96	238	2222
97	240	2210
98	241	2200
99	243	2189
100	244	2174
101	245	2159
102	246	2144
103	247	2131
104	248	2117
105	249	2102
106	250	2088
107	251	2075
108	252	2061
109	253	2049
110	254	2039
111	256	2032
112	257	2024
113	258	2012
114	259	1999
115	260	1987
116	261	1973
117	262	1962
118	263	1951
119	264	1940
120	265	1928
121	266	1916
122	267	1906
123	268	1900
124	270	1894
125	271	1885
126	272	1875
127	273	1866
128	275	1857
129	276	1848
130	277	1839
131	278	1830
132	279	1821
133	280	1812
134	281	1805
135	283	1801
136	285	1795
137	286	1787
138	287	1779
139	288	1771
140	289	1763
141	290	1753
142	291	1745
143	292	1738
144	293	1730
145	294	1722
146	295	1716
147	297	1712
148	298	1707
149	300	1701
150	301	1694
151	302	1687
152	303	1682
153	305	1676
154	306	1669
155	307	1662
156	308	1656
157	309	1651
158	311	1648
159	313	1644
160	313	1636
161	315	1629
162	316	1623
163	317	1616
164	318	1610
165	319	1604
166	320	1598
167	321	1592
168	322	1586
169	324	1586
170	326	1583
171	327	1578
172	328	1572
173	330	1566
174	331	1560
175	332	1555
176	333	1549
177	334	1543
178	335	1538
179	336	1532
180	338	1530
181	340	1529
182	341	1524
183	342	1520
184	344	1515
185	345	1510
186	346	1505
187	347	1500
188	348	1495
189	349	1490
190	351	1488
191	352	1485
192	354	1481
193	355	1477
194	357	1473
195	358	1469
196	359	1465
197	360	1462
198	362	1458
199	363	1455
200	367	1459
201	368	1456
202	370	1452
203	371	1448
204	372	1444
205	373	1440
206	374	1436
207	376	1433
208	377	1429
209	378	1424
210	380	1422
211	381	1419
212	383	1416
213	384	1412
214	386	1409
215	387	1406
216	388	1402
217	389	1398
218	391	1394
219	392	1390
220	393	1388
221	395	1385
222	396	1382
